horizon,variable,svar_response,svar_lower_90,svar_upper_90,dsge_response,normalization,ordering
0,x,0.0,0.0,0.0,-0.40114914891807424,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
1,x,0.1242225714776256,-0.06509502598566357,-0.06509502598566357,-0.26318472279779004,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
2,x,0.1478130659247339,-0.061960771716115665,-0.061960771716115665,-0.17266943853869723,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
3,x,0.23111002115982193,0.17716011877744964,0.17716011877744964,-0.11328444405286454,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
4,x,0.23664505718246776,0.3490555936423452,0.3490555936423452,-0.07432331611757015,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
5,x,0.15759957166982508,0.3246692522881123,0.3246692522881123,-0.048761816901608045,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
6,x,0.06915414089773018,0.14672760783123448,0.14672760783123448,-0.03199150565068079,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
7,x,-0.008106619191729699,-0.05451168703710026,-0.05451168703710026,-0.020988890464376825,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
8,x,-0.07379459290949582,-0.18512963989368061,-0.18512963989368061,-0.013770327903228933,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
9,x,-0.11267304848875212,-0.2056131332300803,-0.2056131332300803,-0.009034395166528009,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
10,x,-0.12184641244510565,-0.13826943326390617,-0.13826943326390617,-0.005927258711523014,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
11,x,-0.10423786002595359,-0.03600185606633952,-0.03600185606633952,-0.0038887380046752763,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
12,x,-0.0759971267809968,0.04191200594190856,0.04191200594190856,-0.0025513114923773656,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
13,x,-0.044824432839807415,0.06956764443063314,0.06956764443063314,-0.0016738567430666863,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
14,x,-0.016301667005750673,0.05325010436542215,0.05325010436542215,-0.0010981788796384517,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
15,x,0.006698262565904189,0.017268854358934764,0.017268854358934764,-0.0007204898846208317,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
16,x,0.02099422325285284,-0.015462956911707572,-0.015462956911707572,-0.0004726968287823161,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
17,x,0.027910028531265476,-0.03064119334122139,-0.03064119334122139,-0.0003101255086444902,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
18,x,0.02929723954461003,-0.026531544816698276,-0.026531544816698276,-0.0002034662076315534,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
19,x,0.027554378769620965,-0.010681034636920272,-0.010681034636920272,-0.00013348949536208328,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
0,pi,0.0,0.0,0.0,-0.4600949476117025,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
1,pi,0.09850604994989863,-0.00870534187345968,-0.00870534187345968,-0.30185770448323085,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
2,pi,0.1425968408815788,0.07831554717070945,0.07831554717070945,-0.19804189163273997,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
3,pi,-0.14764259146460681,-0.13022555973342018,-0.13022555973342018,-0.12993072649481155,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
4,pi,-0.2573527357542468,-0.18573151517123598,-0.18573151517123598,-0.08524455885709618,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
5,pi,-0.14119532699719692,-0.04803270932941719,-0.04803270932941719,-0.05592699287363879,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
6,pi,-0.028766037655168927,0.10288094838186966,0.10288094838186966,-0.03669241267503461,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
7,pi,-0.1269743589304325,0.05251967595024128,0.05251967595024128,-0.024073047355799425,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
8,pi,-0.20292894515417276,-0.05093991753472505,-0.05093991753472505,-0.01579377224733367,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
9,pi,-0.18293693439659092,-0.11262473089834306,-0.11262473089834306,-0.010361930424273523,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
10,pi,-0.11660925100468737,-0.11272511971125972,-0.11272511971125972,-0.006798224036401161,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
11,pi,-0.09892129272405194,-0.0953532162636406,-0.0953532162636406,-0.004460158306110782,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
12,pi,-0.0803439644039106,-0.05356987476165412,-0.05356987476165412,-0.002926207198973748,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
13,pi,-0.04343522132790057,-0.006144488067137616,-0.006144488067137616,-0.0019198171866711751,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
14,pi,0.0049775282851217476,0.024969868634320543,0.024969868634320543,-0.0012595478650700212,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
15,pi,0.03067250305137598,0.025982776017886643,0.025982776017886643,-0.0008263603615078285,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
16,pi,0.044296928717350775,0.01294000230420362,0.01294000230420362,-0.0005421560117009263,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
17,pi,0.05009837730194372,-0.0012425328329407547,-0.0012425328329407547,-0.0003556960797183903,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
18,pi,0.05274992632502942,-0.00961655351615242,-0.00961655351615242,-0.00023336401035217301,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
19,pi,0.04576505739503454,-0.011836325046714023,-0.011836325046714023,-0.00015310475552814777,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
0,i,0.25,0.25097542525854405,0.25097542525854405,0.25,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
1,i,0.4124633317307558,0.4356194821579393,0.4356194821579393,0.16401924540258428,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
2,i,0.402029917159208,0.4342102634325034,0.4342102634325034,0.10760925144956608,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
3,i,0.3475683609604004,0.3583575827186708,0.3583575827186708,0.07059995288408134,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
4,i,0.28031917869032896,0.2786686079150868,0.2786686079150868,0.04631900399010501,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
5,i,0.19534617212976765,0.22058219924295505,0.22058219924295505,0.030388832328988445,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
6,i,0.11833452621926514,0.192942250698806,0.192942250698806,0.019937413389050047,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
7,i,0.05642719917953577,0.17915073864452763,0.17915073864452763,0.013080477997414925,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
8,i,-0.008044612503961374,0.1459503396960786,0.1459503396960786,0.008581800522530178,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
9,i,-0.07385530906877624,0.08451603551157094,0.08451603551157094,0.005630321783618822,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
10,i,-0.12202956703681121,0.017036725061422762,0.017036725061422762,0.003693924521280163,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
11,i,-0.14476328387051227,-0.03122286711016505,-0.03122286711016505,0.002423498850212662,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
12,i,-0.1500598315940081,-0.05252241777061277,-0.05252241777061277,0.0015900018105820114,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
13,i,-0.14335868260905643,-0.05167124335942332,-0.05167124335942332,0.0010431635886429178,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
14,i,-0.12414823670898227,-0.03782456559230728,-0.03782456559230728,0.0006843956185626509,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
15,i,-0.09439716183555551,-0.0209871419638458,-0.0209871419638458,0.0004490162116526127,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
16,i,-0.06087867519997788,-0.009237232153857015,-0.009237232153857015,0.0002945892008350071,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
17,i,-0.02938194832952536,-0.005196957447874958,-0.005196957447874958,0.00019327319369852745,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
18,i,-0.0024753330700060354,-0.006450788374053105,-0.006450788374053105,0.00012680209354816232,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
19,i,0.018653489907252876,-0.008971992599601865,-0.008971992599601865,8.319193479672215e-05,policy-rate impact = +0.25 annual p.p.,"x,pi,i"
